B4GALT7-related spondylodysplastic Ehlers-Danlos syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-9007101	Rab regulation of trafficking	2.92092691032872e-58	True	Rab regulation of trafficking	119	98	39	17376	0.3979591836734694	0.3277310924369748	query_1	['REAC:R-HSA-199991']	['RAB14', 'RAB1B', 'RAB7A', 'OPTN', 'RAB39A', 'RAB8A', 'RAB31', 'HPS4', 'RAB8B', 'RABEP1', 'RAB32', 'RAB5B', 'RIN3', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RAB1A', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'GDI1', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'RAB35', 'HPS1', 'RAB3GAP1', 'RAB3A', 'RAB6A', 'RAB3IL1']
1	REAC	REAC:R-HSA-8876198	RAB GEFs exchange GTP for GDP on RABs	3.0868703928242736e-49	True	RAB GEFs exchange GTP for GDP on RABs	87	98	32	17376	0.3265306122448979	0.367816091954023	query_1	['REAC:R-HSA-9007101']	['RAB14', 'RAB1B', 'RAB7A', 'RAB39A', 'RAB8A', 'RAB31', 'HPS4', 'RAB8B', 'RAB32', 'RAB5B', 'RIN3', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB13', 'RAB1A', 'CHML', 'RAB3GAP2', 'YWHAE', 'GDI1', 'GDI2', 'RAB10', 'RAB18', 'RAB35', 'HPS1', 'RAB3GAP1', 'RAB3A', 'RAB6A', 'RAB3IL1']
2	REAC	REAC:R-HSA-8873719	RAB geranylgeranylation	9.029889409282928e-46	True	RAB geranylgeranylation	63	98	28	17376	0.2857142857142857	0.4444444444444444	query_1	['REAC:R-HSA-597592']	['RAB14', 'RAB34', 'RAB1B', 'RAB7A', 'RAB39A', 'RAB8A', 'RAB31', 'RAB8B', 'RABGGTB', 'RAB32', 'RAB5B', 'RAB5C', 'RABGGTA', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'RAB13', 'RAB1A', 'CHML', 'RAB10', 'RAB18', 'RAB35', 'RAB23', 'RAB3A', 'RAB22A', 'PTP4A2', 'RAB6A']
3	REAC	REAC:R-HSA-199991	Membrane Trafficking	3.916491457834989e-33	True	Membrane Trafficking	617	98	42	17376	0.4285714285714285	0.0680713128038897	query_1	['REAC:R-HSA-5653656']	['RAB14', 'RAB1B', 'SORT1', 'RAB7A', 'OPTN', 'RAB39A', 'RAB8A', 'RAB31', 'HPS4', 'RAB8B', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RIN3', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RAB1A', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'GDI1', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'APP', 'RAB35', 'HPS1', 'RAB3GAP1', 'RAB3A', 'RAB6A', 'RAB3IL1']
4	GO:CC	GO:0005768	endosome	2.0207625541004288e-32	True	"""A vacuole to which materials ingested by endocytosis are delivered."" [ISBN:0198506732, PMID:19696797]"	989	98	49	17376	0.5	0.0495449949443882	query_1	['GO:0012505', 'GO:0031410']	['RAB14', 'RBSN', 'SORT1', 'RAB7A', 'RUFY1', 'EEA1', 'OPTN', 'MICALL1', 'RAB8A', 'PSEN1', 'HTT', 'RAB31', 'APH1B', 'OSBPL1A', 'RAB8B', 'BACE1', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RIN3', 'NCSTN', 'RABGEF1', 'RAB5C', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'PSENEN', 'RAB1A', 'GGA2', 'GGA3', 'EHD2', 'APH1A', 'NGF', 'RAB10', 'TBC1D17', 'APP', 'RAB35', 'SUN2', 'EHD1', 'RAB23', 'RAB3A', 'RAB22A', 'PTP4A2']
5	REAC	REAC:R-HSA-5653656	Vesicle-mediated transport	5.397893368496435e-32	True	Vesicle-mediated transport	661	98	42	17376	0.4285714285714285	0.0635400907715582	query_1	['REAC:0000000']	['RAB14', 'RAB1B', 'SORT1', 'RAB7A', 'OPTN', 'RAB39A', 'RAB8A', 'RAB31', 'HPS4', 'RAB8B', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RIN3', 'RABGEF1', 'RAB3IP', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RAB1A', 'CHML', 'GGA2', 'RAB3GAP2', 'GGA3', 'YWHAE', 'GDI1', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'APP', 'RAB35', 'HPS1', 'RAB3GAP1', 'RAB3A', 'RAB6A', 'RAB3IL1']
6	GO:CC	GO:0010008	endosome membrane	5.52903661740333e-29	True	"""The lipid bilayer surrounding an endosome."" [GOC:mah]"	521	98	37	17376	0.3775510204081632	0.0710172744721689	query_1	['GO:0005768', 'GO:0030659', 'GO:0098588']	['RAB14', 'RBSN', 'SORT1', 'RAB7A', 'RUFY1', 'EEA1', 'OPTN', 'MICALL1', 'RAB8A', 'PSEN1', 'RAB31', 'APH1B', 'RAB8B', 'BACE1', 'RABEP1', 'VPS45', 'RAB5B', 'NCSTN', 'RABGEF1', 'RAB5C', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'EHD3', 'PSENEN', 'GGA2', 'GGA3', 'EHD2', 'APH1A', 'RAB10', 'RAB35', 'SUN2', 'EHD1', 'RAB23', 'RAB22A']
7	GO:BP	GO:0016192	vesicle-mediated transport	2.492219556261644e-28	True	"""A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."" [GOC:ai, GOC:mah, ISBN:08789310662000]"	1519	98	54	17376	0.5510204081632653	0.0355497037524687	query_1	['GO:0006810']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'RUFY1', 'EEA1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'HTT', 'RAB31', 'OSBPL1A', 'HPS4', 'RAB8B', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RIN3', 'RABGEF1', 'RAB3IP', 'HMMR', 'RAB5C', 'CHM', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'EHD3', 'RAB1A', 'CHML', 'GGA2', 'GGA3', 'PPFIA3', 'EHD2', 'GDI1', 'GDI2', 'RAB10', 'TBC1D17', 'APP', 'RAB35', 'EHD1', 'HPS1', 'RAB3GAP1', 'RAB3A', 'RAB22A', 'RAB6A', 'RAB3IL1']
8	GO:CC	GO:0097708	intracellular vesicle	9.417348989962787e-27	True	"""Any vesicle that is part of the intracellular region."" [GOC:vesicles]"	2392	98	61	17376	0.6224489795918368	0.0255016722408026	query_1	['GO:0031982', 'GO:0043231']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'RUFY1', 'EEA1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'HTT', 'RAB31', 'APH1B', 'OSBPL1A', 'HPS4', 'RAB8B', 'BACE1', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RIN3', 'NCSTN', 'RABGEF1', 'RAB3IP', 'RAB5C', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'PSENEN', 'RAB1A', 'GGA2', 'GGA3', 'YWHAE', 'PPFIA3', 'EHD2', 'APH1A', 'NGF', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'APP', 'RAB35', 'SUN2', 'EHD1', 'RAB23', 'HPS1', 'RAB3A', 'RAB22A', 'PTP4A2', 'RAB6A', 'RAB3IL1']
9	GO:CC	GO:0031410	cytoplasmic vesicle	9.417348989962787e-27	True	"""A vesicle found in the cytoplasm of a cell."" [GOC:ai, GOC:mah, GOC:vesicles]"	2390	98	61	17376	0.6224489795918368	0.0255230125523012	query_1	['GO:0005737', 'GO:0097708']	['RAB14', 'RAB34', 'RBSN', 'RAB1B', 'SORT1', 'RAB7A', 'RUFY1', 'EEA1', 'OPTN', 'RAB39A', 'MICALL1', 'RAB8A', 'PSEN1', 'HTT', 'RAB31', 'APH1B', 'OSBPL1A', 'HPS4', 'RAB8B', 'BACE1', 'RABEP1', 'VPS45', 'RAB32', 'RAB5B', 'RIN3', 'NCSTN', 'RABGEF1', 'RAB3IP', 'RAB5C', 'RAB38', 'RAB5A', 'RAB4A', 'GGA1', 'RAB13', 'RILP', 'NGFR', 'EHD3', 'PSENEN', 'RAB1A', 'GGA2', 'GGA3', 'YWHAE', 'PPFIA3', 'EHD2', 'APH1A', 'NGF', 'GDI2', 'RAB10', 'TBC1D17', 'RAB18', 'APP', 'RAB35', 'SUN2', 'EHD1', 'RAB23', 'HPS1', 'RAB3A', 'RAB22A', 'PTP4A2', 'RAB6A', 'RAB3IL1']
