Pierpont syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-212436	Generic Transcription Pathway	8.348824952501901e-71	True	Generic Transcription Pathway	1151	101	79	17376	0.7821782178217822	0.0686359687228497	query_1	['REAC:R-HSA-73857']	['SMAD1', 'MAML1', 'UBE2I', 'RXRA', 'TGIF1', 'AKT1', 'CREBBP', 'CDK8', 'SMURF2', 'CBFB', 'MDM2', 'E2F4', 'PPARG', 'CDK7', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'PPARA', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'CDKN1A', 'E2F5', 'AR', 'WWTR1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'SMAD4', 'NOTCH1', 'RUNX1', 'USP7', 'EP300', 'RBPJ', 'CCND2', 'E2F1', 'PRMT5', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'CDK2', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'RARA', 'CDK4', 'CDKN1B', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'PML', 'HDAC2', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'HIPK2', 'CCND1', 'CCNC', 'VDR']
1	REAC	REAC:R-HSA-73857	RNA Polymerase II Transcription	1.2449584833560064e-67	True	RNA Polymerase II Transcription	1272	101	79	17376	0.7821782178217822	0.0621069182389937	query_1	['REAC:R-HSA-74160']	['SMAD1', 'MAML1', 'UBE2I', 'RXRA', 'TGIF1', 'AKT1', 'CREBBP', 'CDK8', 'SMURF2', 'CBFB', 'MDM2', 'E2F4', 'PPARG', 'CDK7', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'PPARA', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'CDKN1A', 'E2F5', 'AR', 'WWTR1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'SMAD4', 'NOTCH1', 'RUNX1', 'USP7', 'EP300', 'RBPJ', 'CCND2', 'E2F1', 'PRMT5', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'CDK2', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'RARA', 'CDK4', 'CDKN1B', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'PML', 'HDAC2', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'HIPK2', 'CCND1', 'CCNC', 'VDR']
2	REAC	REAC:R-HSA-74160	Gene expression (Transcription)	2.5439308946046342e-64	True	Gene expression (Transcription)	1407	101	79	17376	0.7821782178217822	0.0561478322672352	query_1	['REAC:0000000']	['SMAD1', 'MAML1', 'UBE2I', 'RXRA', 'TGIF1', 'AKT1', 'CREBBP', 'CDK8', 'SMURF2', 'CBFB', 'MDM2', 'E2F4', 'PPARG', 'CDK7', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'TFDP1', 'CTNNB1', 'RB1', 'HDAC1', 'PPARA', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'CDKN1A', 'E2F5', 'AR', 'WWTR1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'SMAD4', 'NOTCH1', 'RUNX1', 'USP7', 'EP300', 'RBPJ', 'CCND2', 'E2F1', 'PRMT5', 'NOTCH2', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'CDK2', 'SP1', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'RARA', 'CDK4', 'CDKN1B', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'PML', 'HDAC2', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'HIPK2', 'CCND1', 'CCNC', 'VDR']
3	GO:CC	GO:0005667	transcription regulator complex	3.479593584616309e-62	True	"""A protein complex that is capable of associating with DNA by direct binding, or via other DNA-binding proteins or complexes, and regulating transcription."" [GOC:jl]"	505	101	59	17376	0.5841584158415841	0.1168316831683168	query_1	['GO:0032991']	['SMAD1', 'REST', 'RXRA', 'CREBBP', 'CBFB', 'MDM2', 'E2F4', 'STAT3', 'PPARG', 'CDK7', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'E2F5', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMAD9', 'SMAD4', 'RUNX1', 'EP300', 'RBPJ', 'E2F1', 'GPS2', 'NCOR1', 'HDAC3', 'SKI', 'RCOR1', 'CDK2', 'SP1', 'ESR1', 'DRAP1', 'RARA', 'FOXH1', 'CDK4', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'THRB', 'SKIL', 'NCOA1', 'HIPK2', 'CCND1', 'VDR']
4	GO:BP	GO:0006355	regulation of DNA-templated transcription	6.076083532559385e-60	True	"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	3136	101	95	17376	0.9405940594059404	0.0302933673469387	query_1	['GO:0006351', 'GO:0010468', 'GO:1903506']	['SMAD1', 'REST', 'MAML1', 'NRIP1', 'UBE2I', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'SMURF2', 'CKS1B', 'CBFB', 'MDM2', 'E2F4', 'STAT3', 'PPARG', 'CDK7', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'PPARA', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'E2F5', 'AR', 'E2F2', 'WWTR1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'USP7', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'PRMT5', 'NOTCH2', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'NR1H4', 'KAT2B', 'ESR1', 'FOXO1', 'PDE8A', 'CCND3', 'DRAP1', 'RARA', 'FOXH1', 'CDK4', 'CDKN1B', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'PML', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'NCOA1', 'HIPK2', 'CCND1', 'CCNC', 'VDR']
5	GO:BP	GO:1903506	regulation of nucleic acid-templated transcription	6.076083532559385e-60	True	"""Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	3138	101	95	17376	0.9405940594059404	0.0302740599107711	query_1	['GO:0097659', 'GO:2001141']	['SMAD1', 'REST', 'MAML1', 'NRIP1', 'UBE2I', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'SMURF2', 'CKS1B', 'CBFB', 'MDM2', 'E2F4', 'STAT3', 'PPARG', 'CDK7', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'PPARA', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'E2F5', 'AR', 'E2F2', 'WWTR1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'USP7', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'PRMT5', 'NOTCH2', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'NR1H4', 'KAT2B', 'ESR1', 'FOXO1', 'PDE8A', 'CCND3', 'DRAP1', 'RARA', 'FOXH1', 'CDK4', 'CDKN1B', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'PML', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'NCOA1', 'HIPK2', 'CCND1', 'CCNC', 'VDR']
6	GO:BP	GO:2001141	regulation of RNA biosynthetic process	7.640328104124534e-60	True	"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]"	3159	101	95	17376	0.9405940594059404	0.0300728078505856	query_1	['GO:0010556', 'GO:0031326', 'GO:0032774', 'GO:0051252']	['SMAD1', 'REST', 'MAML1', 'NRIP1', 'UBE2I', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'SMURF2', 'CKS1B', 'CBFB', 'MDM2', 'E2F4', 'STAT3', 'PPARG', 'CDK7', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'PPARA', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'E2F5', 'AR', 'E2F2', 'WWTR1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'USP7', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'PRMT5', 'NOTCH2', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'NR1H4', 'KAT2B', 'ESR1', 'FOXO1', 'PDE8A', 'CCND3', 'DRAP1', 'RARA', 'FOXH1', 'CDK4', 'CDKN1B', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'PML', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'NCOA1', 'HIPK2', 'CCND1', 'CCNC', 'VDR']
7	GO:BP	GO:0097659	nucleic acid-templated transcription	8.371062654717005e-59	True	"""The synthesis of an RNA transcript from a nucleic acid template (DNA or RNA)."" [GOC:pr, GOC:txnOH, GOC:vw]"	3257	101	95	17376	0.9405940594059404	0.0291679459625422	query_1	['GO:0010467', 'GO:0032774']	['SMAD1', 'REST', 'MAML1', 'NRIP1', 'UBE2I', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'SMURF2', 'CKS1B', 'CBFB', 'MDM2', 'E2F4', 'STAT3', 'PPARG', 'CDK7', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'PPARA', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'E2F5', 'AR', 'E2F2', 'WWTR1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'USP7', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'PRMT5', 'NOTCH2', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'NR1H4', 'KAT2B', 'ESR1', 'FOXO1', 'PDE8A', 'CCND3', 'DRAP1', 'RARA', 'FOXH1', 'CDK4', 'CDKN1B', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'PML', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'NCOA1', 'HIPK2', 'CCND1', 'CCNC', 'VDR']
8	GO:BP	GO:0006351	DNA-templated transcription	8.371062654717005e-59	True	"""The synthesis of an RNA transcript from a DNA template."" [GOC:jl, GOC:txnOH]"	3256	101	95	17376	0.9405940594059404	0.0291769041769041	query_1	['GO:0097659']	['SMAD1', 'REST', 'MAML1', 'NRIP1', 'UBE2I', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'SMURF2', 'CKS1B', 'CBFB', 'MDM2', 'E2F4', 'STAT3', 'PPARG', 'CDK7', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'PPARA', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'E2F5', 'AR', 'E2F2', 'WWTR1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'USP7', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'PRMT5', 'NOTCH2', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'NR1H4', 'KAT2B', 'ESR1', 'FOXO1', 'PDE8A', 'CCND3', 'DRAP1', 'RARA', 'FOXH1', 'CDK4', 'CDKN1B', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'PML', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'NCOA1', 'HIPK2', 'CCND1', 'CCNC', 'VDR']
9	GO:BP	GO:0051252	regulation of RNA metabolic process	1.652002885185454e-58	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]"	3441	101	96	17376	0.9504950495049505	0.027898866608544	query_1	['GO:0016070', 'GO:0019219', 'GO:0060255']	['SMAD1', 'REST', 'MAML1', 'NRIP1', 'UBE2I', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'SMURF2', 'CKS1B', 'CBFB', 'MDM2', 'E2F4', 'STAT3', 'PPARG', 'CDK7', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'PPARA', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'E2F5', 'AR', 'E2F2', 'WWTR1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'USP7', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'PRMT5', 'NOTCH2', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'NR1H4', 'KAT2B', 'ESR1', 'FOXO1', 'PDE8A', 'CCND3', 'DRAP1', 'RARA', 'FOXH1', 'CDK4', 'CDKN1B', 'CLNS1A', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'PML', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'NCOA1', 'HIPK2', 'CCND1', 'CCNC', 'VDR']
10	GO:BP	GO:0032774	RNA biosynthetic process	1.652002885185454e-58	True	"""The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication."" [GOC:mah, GOC:txnOH]"	3290	101	95	17376	0.9405940594059404	0.0288753799392097	query_1	['GO:0009059', 'GO:0016070', 'GO:0034654']	['SMAD1', 'REST', 'MAML1', 'NRIP1', 'UBE2I', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'SMURF2', 'CKS1B', 'CBFB', 'MDM2', 'E2F4', 'STAT3', 'PPARG', 'CDK7', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'PPARA', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'E2F5', 'AR', 'E2F2', 'WWTR1', 'SUMO1', 'CCNH', 'SMAD2', 'DAXX', 'SMARCB1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'USP7', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'PRMT5', 'NOTCH2', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'NR1H4', 'KAT2B', 'ESR1', 'FOXO1', 'PDE8A', 'CCND3', 'DRAP1', 'RARA', 'FOXH1', 'CDK4', 'CDKN1B', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'PML', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'NCOA1', 'HIPK2', 'CCND1', 'CCNC', 'VDR']
11	GO:BP	GO:0006357	regulation of transcription by RNA polymerase II	2.030206450543386e-58	True	"""Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"	2346	101	87	17376	0.8613861386138614	0.0370843989769821	query_1	['GO:0006355', 'GO:0006366']	['SMAD1', 'REST', 'MAML1', 'NRIP1', 'UBE2I', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'SMURF2', 'CBFB', 'MDM2', 'E2F4', 'STAT3', 'PPARG', 'CDK7', 'RBL1', 'FOXO3', 'RBL2', 'NR1H2', 'TFDP1', 'NCOA2', 'CTNNB1', 'RB1', 'HDAC1', 'PPARA', 'SMARCA4', 'SMARCA2', 'CCNE1', 'FOXG1', 'TBL1X', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'E2F5', 'AR', 'E2F2', 'WWTR1', 'CCNH', 'SMAD2', 'SMARCB1', 'SMAD9', 'SMAD4', 'NOTCH1', 'RUNX1', 'EP300', 'RBPJ', 'MECP2', 'E2F1', 'NOTCH2', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'SMARCC2', 'SKI', 'SNW1', 'RCOR1', 'CDK2', 'SP1', 'NR1H4', 'KAT2B', 'ESR1', 'FOXO1', 'CCND3', 'DRAP1', 'RARA', 'FOXH1', 'CDK4', 'TBL1XR1', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'THRB', 'SMARCC1', 'SKIL', 'CDK6', 'NCOA1', 'HIPK2', 'CCND1', 'CCNC', 'VDR']
