Representing term id	Representing term name	Representing term rank	93932 term id	93932 term name	93932 term rank	920 term id	920 term name	920 term rank	909 term id	909 term name	909 term rank	904 term id	904 term name	904 term rank	90348 term id	90348 term name	90348 term rank	90324 term id	90324 term name	90324 term rank	90322 term id	90322 term name	90322 term rank	90321 term id	90321 term name	90321 term rank	902 term id	902 term name	902 term rank	90154 term id	90154 term name	90154 term rank	90153 term id	90153 term name	90153 term rank	897 term id	897 term name	897 term rank	895 term id	895 term name	895 term rank	894 term id	894 term name	894 term rank	808 term id	808 term name	808 term rank	79477 term id	79477 term name	79477 term rank	79476 term id	79476 term name	79476 term rank	79474 term id	79474 term name	79474 term rank	79333 term id	79333 term name	79333 term rank	79325 term id	79325 term name	79325 term rank	79087 term id	79087 term name	79087 term rank	769 term id	769 term name	769 term rank	758 term id	758 term name	758 term rank	75496 term id	75496 term name	75496 term rank	740 term id	740 term name	740 term rank	633 term id	633 term name	633 term rank	500 term id	500 term name	500 term rank	498359 term id	498359 term name	498359 term rank	487825 term id	487825 term name	487825 term rank	477 term id	477 term name	477 term rank	435628 term id	435628 term name	435628 term rank	412057 term id	412057 term name	412057 term rank	363618 term id	363618 term name	363618 term rank	357074 term id	357074 term name	357074 term rank	3455 term id	3455 term name	3455 term rank	3437 term id	3437 term name	3437 term rank	33445 term id	33445 term name	33445 term rank	33364 term id	33364 term name	33364 term rank	3322 term id	3322 term name	3322 term rank	3163 term id	3163 term name	3163 term rank	3051 term id	3051 term name	3051 term rank	2963 term id	2963 term name	2963 term rank	287 term id	287 term name	287 term rank	286 term id	286 term name	286 term rank	2834 term id	2834 term name	2834 term rank	280679 term id	280679 term name	280679 term rank	280365 term id	280365 term name	280365 term rank	2658 term id	2658 term name	2658 term rank	263534 term id	263534 term name	263534 term rank	263487 term id	263487 term name	263487 term rank	2500 term id	2500 term name	2500 term rank	220295 term id	220295 term name	220295 term rank	2078 term id	2078 term name	2078 term rank	2067 term id	2067 term name	2067 term rank	1942 term id	1942 term name	1942 term rank	1901 term id	1901 term name	1901 term rank	1860 term id	1860 term name	1860 term rank	1807 term id	1807 term name	1807 term rank	1775 term id	1775 term name	1775 term rank	163746 term id	163746 term name	163746 term rank	1387 term id	1387 term name	1387 term rank	137608 term id	137608 term name	137608 term rank	1340 term id	1340 term name	1340 term rank	1299 term id	1299 term name	1299 term rank	1297 term id	1297 term name	1297 term rank	101028 term id	101028 term name	101028 term rank	100 term id	100 term name	100 term rank
REAC:R-HSA-76002	Platelet activation, signaling and aggregation	1
			REAC:R-HSA-76002	Platelet activation, signaling and aggregation	1				REAC:R-HSA-76002	Platelet activation, signaling and aggregation	6	REAC:R-HSA-76002	Platelet activation, signaling and aggregation	6	REAC:R-HSA-76002	Platelet activation, signaling and aggregation	7																			REAC:R-HSA-76002	Platelet activation, signaling and aggregation	4	REAC:R-HSA-76002	Platelet activation, signaling and aggregation	4																			REAC:R-HSA-76002	Platelet activation, signaling and aggregation	5	REAC:R-HSA-76002	Platelet activation, signaling and aggregation	7	REAC:R-HSA-76002	Platelet activation, signaling and aggregation	2													REAC:R-HSA-76002	Platelet activation, signaling and aggregation	5	REAC:R-HSA-76002	Platelet activation, signaling and aggregation	14				REAC:R-HSA-76002	Platelet activation, signaling and aggregation	1	REAC:R-HSA-76002	Platelet activation, signaling and aggregation	33										REAC:R-HSA-76002	Platelet activation, signaling and aggregation	5													REAC:R-HSA-76002	Platelet activation, signaling and aggregation	6				REAC:R-HSA-76002	Platelet activation, signaling and aggregation	10	REAC:R-HSA-76002	Platelet activation, signaling and aggregation	14	REAC:R-HSA-76002	Platelet activation, signaling and aggregation	6																			REAC:R-HSA-76002	Platelet activation, signaling and aggregation	6				REAC:R-HSA-76002	Platelet activation, signaling and aggregation	10				REAC:R-HSA-76002	Platelet activation, signaling and aggregation	19	REAC:R-HSA-76002	Platelet activation, signaling and aggregation	3	REAC:R-HSA-76002	Platelet activation, signaling and aggregation	28																REAC:R-HSA-76002	Platelet activation, signaling and aggregation	5												
			REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	14				REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	4	REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	20	REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	18																			REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	20	REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	14																			REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	6	REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	20	REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	18													REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	64	REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	32				REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	15													REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	8													REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	38				REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	19	REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	24	REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	15																			REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	15				REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	45				REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	21	REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	29	REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	62																REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	67												
			REAC:R-HSA-354192	Integrin signaling	7				REAC:R-HSA-354192	Integrin signaling	16	REAC:R-HSA-354192	Integrin signaling	12	REAC:R-HSA-354192	Integrin signaling	12																			REAC:R-HSA-354192	Integrin signaling	11	REAC:R-HSA-354192	Integrin signaling	8																			REAC:R-HSA-354192	Integrin signaling	13	REAC:R-HSA-354192	Integrin signaling	12	REAC:R-HSA-354192	Integrin signaling	11													REAC:R-HSA-354192	Integrin signaling	46	REAC:R-HSA-354192	Integrin signaling	23				REAC:R-HSA-354192	Integrin signaling	7													REAC:R-HSA-354192	Integrin signaling	6													REAC:R-HSA-354192	Integrin signaling	29				REAC:R-HSA-354192	Integrin signaling	13	REAC:R-HSA-354192	Integrin signaling	26	REAC:R-HSA-354192	Integrin signaling	20																			REAC:R-HSA-354192	Integrin signaling	20				REAC:R-HSA-354192	Integrin signaling	32				REAC:R-HSA-354192	Integrin signaling	18	REAC:R-HSA-354192	Integrin signaling	14	REAC:R-HSA-354192	Integrin signaling	46																REAC:R-HSA-354192	Integrin signaling	52												
			REAC:R-HSA-114608	Platelet degranulation 	36				REAC:R-HSA-114608	Platelet degranulation 	8	REAC:R-HSA-114608	Platelet degranulation 	79	REAC:R-HSA-114608	Platelet degranulation 	46																			REAC:R-HSA-114608	Platelet degranulation 	73	REAC:R-HSA-114608	Platelet degranulation 	67																			REAC:R-HSA-114608	Platelet degranulation 	7	REAC:R-HSA-114608	Platelet degranulation 	49	REAC:R-HSA-114608	Platelet degranulation 	50													REAC:R-HSA-114608	Platelet degranulation 	120							REAC:R-HSA-114608	Platelet degranulation 	36													REAC:R-HSA-114608	Platelet degranulation 	54													REAC:R-HSA-114608	Platelet degranulation 	142				REAC:R-HSA-114608	Platelet degranulation 	151	REAC:R-HSA-114608	Platelet degranulation 	66	REAC:R-HSA-114608	Platelet degranulation 	36																			REAC:R-HSA-114608	Platelet degranulation 	36										REAC:R-HSA-114608	Platelet degranulation 	11	REAC:R-HSA-114608	Platelet degranulation 	143																			REAC:R-HSA-114608	Platelet degranulation 	119												
			REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	12				REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	11	REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	27	REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	26																			REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	23	REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	20																			REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	10	REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	26	REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	17													REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	72	REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	39				REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	13													REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	7													REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	46				REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	27	REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	33	REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	29																			REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	29				REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	55				REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	9	REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	28	REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	103																REAC:R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	74												
			REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	18				REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	9	REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	41	REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	34																			REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	29	REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	27																			REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	8	REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	33	REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	22													REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	88	REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	50				REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	19													REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	11													REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	63				REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	37	REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	43	REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	38																			REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	38				REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	77				REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	7	REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	35																			REAC:R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	90												
																																																																																													REAC:R-HSA-392518	Signal amplification	8																																																																																																												
			REAC:R-HSA-114604	GPVI-mediated activation cascade	11							REAC:R-HSA-114604	GPVI-mediated activation cascade	28	REAC:R-HSA-114604	GPVI-mediated activation cascade	28																			REAC:R-HSA-114604	GPVI-mediated activation cascade	18	REAC:R-HSA-114604	GPVI-mediated activation cascade	21																						REAC:R-HSA-114604	GPVI-mediated activation cascade	28	REAC:R-HSA-114604	GPVI-mediated activation cascade	16													REAC:R-HSA-114604	GPVI-mediated activation cascade	28	REAC:R-HSA-114604	GPVI-mediated activation cascade	16				REAC:R-HSA-114604	GPVI-mediated activation cascade	11													REAC:R-HSA-114604	GPVI-mediated activation cascade	21													REAC:R-HSA-114604	GPVI-mediated activation cascade	11				REAC:R-HSA-114604	GPVI-mediated activation cascade	29	REAC:R-HSA-114604	GPVI-mediated activation cascade	45	REAC:R-HSA-114604	GPVI-mediated activation cascade	18																			REAC:R-HSA-114604	GPVI-mediated activation cascade	18				REAC:R-HSA-114604	GPVI-mediated activation cascade	13							REAC:R-HSA-114604	GPVI-mediated activation cascade	8	REAC:R-HSA-114604	GPVI-mediated activation cascade	16																REAC:R-HSA-114604	GPVI-mediated activation cascade	31												
			REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	38				REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	10	REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	85	REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	51																			REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	77	REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	69																			REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	9	REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	54	REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	53													REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	124							REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	38													REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	56													REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	146							REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	69	REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	37																			REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	37										REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	13	REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	146																			REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	122												
